Zi                               	Ora                              	Materie                          	Profesor                         	
Luni                             	8-10                             	                                 	                                 	
                                 	10-12                            	Limba franceza 1                 	IVAN MIRELA                      	
                                 	12-2                             	Analiza matematica III           	STANESCU NICOLAE                 	
                                 	2-4                              	Teoria Masurii                   	NUICA ANTONIO                    	
                                 	4-6                              	Teoria Masurii                   	NUICA ANTONIO                    	
Marti                            	8-10                             	                                 	                                 	
                                 	10-12                            	                                 	                                 	
                                 	12-2                             	                                 	                                 	
                                 	2-4                              	                                 	                                 	
                                 	4-6                              	Limba engleza                    	MOISE ANDREEA                    	
Miercuri                         	8-10                             	                                 	                                 	
                                 	10-12                            	Ec. dif. si ec. cu deriv. partiale	GEORGESCU RALUCA                 	
                                 	12-2                             	Ec. dif. si ec. cu deriv. partiale	GEORGESCU RALUCA                 	
                                 	2-4                              	Software matematic               	DEACONU LAURENTIU                	
                                 	4-6                              	Software matematic               	DEACONU LAURENTIU                	
Joi                              	8-10                             	Ec. dif. si ec. cu deriv. partiale	GEORGESCU RALUCA                 	
                                 	10-12                            	Analiza complexa                 	COSTEA SERBAN                    	
                                 	12-2                             	Analiza complexa                 	COSTEA SERBAN                    	
                                 	2-4                              	Pedagogie II                     	APETROAIEI ANA                   	
                                 	4-6                              	                                 	                                 	
Vineri                           	8-10                             	                                 	                                 	
                                 	10-12                            	                                 	                                 	
                                 	12-2                             	Analiza matematica III           	STANESCU NICOLAE                 	
                                 	2-4                              	Educatie fizica                  	ENACHE SEBASTIAN                 	
                                 	4-6                              	Pedagogie II                     	APETROAIEI ANA                   	
